#{"t_start": 1733273477.165031, "env_id": "None"}
r,l,t
-0.006442,26,348.329643
-0.002504,8,348.340473
-0.002404,8,348.349751
-0.00228,8,348.358829
-0.006905,28,348.391036
-0.006304,26,348.423789
-0.006587,26,348.451101
-0.006707,26,348.477294
-0.006364,26,348.50268
-0.002397,8,348.510738
-0.006611,26,348.536665
-0.006297,26,348.564436
-0.002104,6,348.570431
-0.002446,8,348.579164
-0.002039,6,348.585682
-0.006454,26,348.613952
-0.002026,9,348.622003
-0.002006,6,348.627677
-0.00201,6,348.634733
-0.006336,26,348.661178
-0.001912,6,348.667724
-0.006312,26,348.695482
-0.006652,26,348.723511
-0.002322,8,348.733248
-0.00614,26,348.75842
-0.003381,22,350.425397
-0.003382,8,350.434038
-0.006544,26,350.461932
-0.002441,8,350.469997
-0.002385,8,350.478721
-0.006319,26,350.50419
-0.006571,26,350.531449
-0.002104,6,350.539476
-0.007587,29,350.568072
-0.00242,8,350.576324
-0.006599,26,350.603338
-0.001977,6,350.6089
-0.006571,26,350.633897
-0.002386,8,350.64299
-0.006622,26,350.668097
-0.006344,26,350.694622
-0.002383,8,350.704781
-0.040817,105,350.810653
-0.006128,26,350.836127
-0.00229,8,350.843196
-0.006583,26,350.870199
-0.006461,26,350.897687
-0.002383,8,350.905552
-0.006144,26,350.93251
-0.001977,6,350.938213
-0.002504,8,350.946003
-0.002446,8,350.953862
-0.006267,26,350.980269
-0.006518,26,351.007195
-0.00229,8,351.016018
-0.002261,8,351.023565
-0.002416,8,351.035694
-0.001977,6,351.046304
-0.006346,26,351.085456
-0.001977,6,351.0932
-0.006227,26,351.126266
-0.006364,26,351.151375
-0.002383,8,351.159445
-0.002446,8,351.168041
-0.006465,26,351.193164
-0.006416,26,351.219992
-0.002383,8,351.228516
-0.006355,26,351.25573
-0.001977,6,351.262295
-0.006772,26,351.287216
-0.006446,26,351.313831
-0.006695,26,351.341235
-0.006404,26,351.371506
-0.0064,26,351.396242
-0.006774,26,351.422264
-0.040274,105,351.531597
-0.002465,8,351.544302
-0.006268,26,351.574074
-0.002247,8,351.584786
-0.007712,29,351.617853
-0.006578,26,351.64371
-0.001946,6,351.650768
-0.001912,6,351.657383
-0.006944,28,351.685821
-0.006585,26,351.718344
-0.00642,26,351.745387
-0.006581,26,351.774002
-0.038912,105,351.884953
-0.001912,6,351.890994
-0.002385,8,351.899509
-0.006493,26,351.928824
-0.006276,26,351.955201
-0.001912,6,351.96275
-0.00639,26,351.9896
-0.006292,26,352.015375
-0.038854,105,352.135455
-0.038007,105,352.246834
-0.006619,26,352.274358
-0.006547,26,352.301444
-0.002401,8,352.309751
-0.006722,26,352.337638
-0.00242,8,352.345769
-0.00648,26,352.374095
-0.006404,26,352.402874
-0.039781,105,352.514536
-0.006169,26,352.545811
-0.039953,105,354.313076
-0.002323,8,354.320758
-0.00652,26,354.346172
-0.006359,26,354.37144
-0.006147,26,354.397722
-0.039651,105,354.511439
-0.002441,8,354.520642
-0.003169,22,354.543039
-0.00619,26,354.569833
-0.006173,26,354.597366
-0.006271,26,354.623846
-0.002071,6,354.629931
-0.002304,8,354.638442
-0.006292,26,354.665789
-0.002427,8,354.674341
-0.006352,26,354.705136
-0.006329,26,354.73599
-0.006181,26,354.765646
-0.006462,26,354.795783
-0.00623,26,354.823024
-0.002071,6,354.831292
-0.001977,6,354.8383
-0.006437,26,354.866552
-0.038763,105,354.976037
